horizon,held_out_season,term,term_type,coefficient_standardized,coefficient_raw
1,12-13,block_fe_10,block_fixed_effect,-26090649.666666716,-26090649.666666716
1,12-13,block_fe_11,block_fixed_effect,-26309643.33333338,-26309643.33333338
1,12-13,block_fe_12,block_fixed_effect,-22934791.00000003,-22934791.00000003
1,13-14,intercept,intercept,25289051.466666885,19504086.178967223
1,13-14,rainfall_sep,weather,1159903.2901776773,26770.94209254349
1,13-14,rainfall_oct,weather,-445578.6919797583,-11188.821735341811
1,13-14,rainfall_nov,weather,642821.3960262885,13492.680124127219
1,13-14,rainfall_dec,weather,-544198.7356414957,-11116.316414648018
1,13-14,rainfall_jan,weather,128468.62795493523,1906.6502382961407
1,13-14,rainfall_feb,weather,161408.4085846754,3281.8154578544027
1,13-14,rainfall_mar,weather,-728257.2269141049,-19635.553137205883
1,13-14,rainfall_apr,weather,649428.8827847145,24189.796026758613
1,13-14,growing_season_average_temperature,weather,197587.89025728553,224104.7590672569
1,13-14,block_fe_2,block_fixed_effect,22445542.53333312,22445542.53333312
1,13-14,block_fe_3,block_fixed_effect,23734262.666666422,23734262.666666422
1,13-14,block_fe_4,block_fixed_effect,29267074.866666447,29267074.866666447
1,13-14,block_fe_5,block_fixed_effect,26907416.13333309,26907416.13333309
1,13-14,block_fe_6,block_fixed_effect,19509035.399999775,19509035.399999775
1,13-14,block_fe_7,block_fixed_effect,11479496.733333096,11479496.733333096
1,13-14,block_fe_8,block_fixed_effect,-2754630.9333335734,-2754630.9333335734
1,13-14,block_fe_9,block_fixed_effect,-18739500.86666693,-18739500.86666693
1,13-14,block_fe_10,block_fixed_effect,-24819929.533333573,-24819929.533333573
1,13-14,block_fe_11,block_fixed_effect,-25035830.06666692,-25035830.06666692
1,13-14,block_fe_12,block_fixed_effect,-21792218.333333593,-21792218.333333593
1,14-15,intercept,intercept,25433294.266666673,27681588.185177214
1,14-15,rainfall_sep,weather,1447997.9710609082,33512.66127903895
1,14-15,rainfall_oct,weather,-732057.4379231196,-17454.06441787044
1,14-15,rainfall_nov,weather,546288.9289938777,11477.74493050335
1,14-15,rainfall_dec,weather,-662181.2032810709,-13531.259231564418
1,14-15,rainfall_jan,weather,-199236.09195324397,-3169.7406185138266
1,14-15,rainfall_feb,weather,-196499.20193349823,-4088.6457492875184
1,14-15,rainfall_mar,weather,-578707.7239465652,-15362.893015586253
1,14-15,rainfall_apr,weather,771080.9975810738,27744.667314458784
1,14-15,growing_season_average_temperature,weather,-7436.8467477649965,-8385.122034130034
1,14-15,block_fe_2,block_fixed_effect,22257782.39999998,22257782.39999998
1,14-15,block_fe_3,block_fixed_effect,22623868.93333335,22623868.93333335
1,14-15,block_fe_4,block_fixed_effect,29445600.933333322,29445600.933333322
1,14-15,block_fe_5,block_fixed_effect,26971956.333333343,26971956.333333343
1,14-15,block_fe_6,block_fixed_effect,19860099.73333331,19860099.73333331
1,14-15,block_fe_7,block_fixed_effect,11372543.266666682,11372543.266666682
1,14-15,block_fe_8,block_fixed_effect,-1744520.466666672,-1744520.466666672
1,14-15,block_fe_9,block_fixed_effect,-18192043.533333354,-18192043.533333354
1,14-15,block_fe_10,block_fixed_effect,-24967394.866666697,-24967394.866666697
1,14-15,block_fe_11,block_fixed_effect,-25189969.000000045,-25189969.000000045
1,14-15,block_fe_12,block_fixed_effect,-21840904.40000002,-21840904.40000002
1,15-16,intercept,intercept,25504606.26666663,6815786.293893609
1,15-16,rainfall_sep,weather,765909.7415857273,17823.27249607614
1,15-16,rainfall_oct,weather,-244271.26379617793,-6581.788172645462
1,15-16,rainfall_nov,weather,442433.07813341403,9306.727702031249
1,15-16,rainfall_dec,weather,22018.105714135567,432.88627531574946
1,15-16,rainfall_jan,weather,139376.94971016375,2141.1960426067344
1,15-16,rainfall_feb,weather,481383.77680985077,9859.755925491405
1,15-16,rainfall_mar,weather,-703564.6842257598,-19277.782855366742
1,15-16,rainfall_apr,weather,965261.1866330373,35030.78271254179
1,15-16,growing_season_average_temperature,weather,558510.263076109,629702.8348675653
1,15-16,block_fe_2,block_fixed_effect,22692872.400000036,22692872.400000036
1,15-16,block_fe_3,block_fixed_effect,22707583.600000065,22707583.600000065
1,15-16,block_fe_4,block_fixed_effect,29444851.53333339,29444851.53333339
1,15-16,block_fe_5,block_fixed_effect,26769628.733333375,26769628.733333375
1,15-16,block_fe_6,block_fixed_effect,19739674.466666702,19739674.466666702
1,15-16,block_fe_7,block_fixed_effect,11065531.33333336,11065531.33333336
1,15-16,block_fe_8,block_fixed_effect,-2299349.59999996,-2299349.59999996
1,15-16,block_fe_9,block_fixed_effect,-19238044.399999976,-19238044.399999976
1,15-16,block_fe_10,block_fixed_effect,-25237097.466666657,-25237097.466666657
1,15-16,block_fe_11,block_fixed_effect,-25391772.3333333,-25391772.3333333
1,15-16,block_fe_12,block_fixed_effect,-22601643.19999998,-22601643.19999998
1,16-17,intercept,intercept,24078540.666666716,9618131.053875234
1,16-17,rainfall_sep,weather,707303.5657169723,18351.43049872106
1,16-17,rainfall_oct,weather,-526128.2252488584,-12567.470468585381
1,16-17,rainfall_nov,weather,448346.291859915,11481.355319626635
1,16-17,rainfall_dec,weather,-92440.10829830603,-1875.0250050281202
1,16-17,rainfall_jan,weather,-51274.13658689761,-788.7363433390758
1,16-17,rainfall_feb,weather,319434.9935748431,6768.861509885327
1,16-17,rainfall_mar,weather,-508349.6712302865,-13703.013790990282
1,16-17,rainfall_apr,weather,921288.1376305417,34981.679324315526
1,16-17,growing_season_average_temperature,weather,446126.7908758076,503017.09530767717
1,16-17,block_fe_2,block_fixed_effect,23920549.599999923,23920549.599999923
1,16-17,block_fe_3,block_fixed_effect,24814228.533333275,24814228.533333275
1,16-17,block_fe_4,block_fixed_effect,30123864.933333278,30123864.933333278
1,16-17,block_fe_5,block_fixed_effect,28606699.19999993,28606699.19999993
1,16-17,block_fe_6,block_fixed_effect,20623432.86666661,20623432.86666661
1,16-17,block_fe_7,block_fixed_effect,12934041.066666622,12934041.066666622
1,16-17,block_fe_8,block_fixed_effect,-853295.0666667199,-853295.0666667199
1,16-17,block_fe_9,block_fixed_effect,-16953420.400000036,-16953420.400000036
1,16-17,block_fe_10,block_fixed_effect,-23620900.533333376,-23620900.533333376
1,16-17,block_fe_11,block_fixed_effect,-23861029.266666725,-23861029.266666725
1,16-17,block_fe_12,block_fixed_effect,-20813615.86666671,-20813615.86666671
1,17-18,intercept,intercept,25302075.066666666,11651739.620978966
1,17-18,rainfall_sep,weather,759163.1420562174,18068.894421867095
1,17-18,rainfall_oct,weather,-1373.2108189759601,-32.69661407285386
1,17-18,rainfall_nov,weather,351983.96802230086,7436.186488609302
1,17-18,rainfall_dec,weather,511596.68243518093,10107.530935967437
1,17-18,rainfall_jan,weather,-676747.9430188256,-10523.369089223888
1,17-18,rainfall_feb,weather,694185.6931190942,14567.703004308949
1,17-18,rainfall_mar,weather,-504136.89679560805,-13371.671449626107
1,17-18,rainfall_apr,weather,486186.4191278328,19368.771267872817
1,17-18,growing_season_average_temperature,weather,355471.85250635387,414167.2159514013
1,17-18,block_fe_2,block_fixed_effect,22800964.400000013,22800964.400000013
1,17-18,block_fe_3,block_fixed_effect,22794434.466666676,22794434.466666676
1,17-18,block_fe_4,block_fixed_effect,28849993.26666667,28849993.26666667
1,17-18,block_fe_5,block_fixed_effect,27446564.399999972,27446564.399999972
1,17-18,block_fe_6,block_fixed_effect,19146966.866666675,19146966.866666675
1,17-18,block_fe_7,block_fixed_effect,11869707.66666667,11869707.66666667
1,17-18,block_fe_8,block_fixed_effect,-1854164.9333333366,-1854164.9333333366
1,17-18,block_fe_9,block_fixed_effect,-18272519.00000001,-18272519.00000001
1,17-18,block_fe_10,block_fixed_effect,-24799649.333333336,-24799649.333333336
1,17-18,block_fe_11,block_fixed_effect,-25060103.200000007,-25060103.200000007
1,17-18,block_fe_12,block_fixed_effect,-22094232.53333334,-22094232.53333334
1,18-19,intercept,intercept,24533282.133333307,-7451783.641758304
1,18-19,rainfall_sep,weather,1821787.8442255724,43277.61244334713
1,18-19,rainfall_oct,weather,-1062231.655620603,-25396.06200737704
1,18-19,rainfall_nov,weather,223728.25138517318,4874.813017243728
1,18-19,rainfall_dec,weather,-719646.3408480942,-14161.002313201476
1,18-19,rainfall_jan,weather,620724.994197434,9229.307177638826
1,18-19,rainfall_feb,weather,257932.40513912906,5224.725409464159
1,18-19,rainfall_mar,weather,-1099879.2825069702,-29568.410455614565
1,18-19,rainfall_apr,weather,1480560.5067780835,56106.31857544957
1,18-19,growing_season_average_temperature,weather,1130987.987184902,1281809.323165216
1,18-19,block_fe_2,block_fixed_effect,23304725.266666688,23304725.266666688
1,18-19,block_fe_3,block_fixed_effect,23581615.000000022,23581615.000000022
1,18-19,block_fe_4,block_fixed_effect,29934297.33333336,29934297.33333336
1,18-19,block_fe_5,block_fixed_effect,28541326.33333333,28541326.33333333
1,18-19,block_fe_6,block_fixed_effect,20790008.13333337,20790008.13333337
1,18-19,block_fe_7,block_fixed_effect,13246652.733333353,13246652.733333353
1,18-19,block_fe_8,block_fixed_effect,-928963.0666666582,-928963.0666666582
1,18-19,block_fe_9,block_fixed_effect,-17408615.799999982,-17408615.799999982
1,18-19,block_fe_10,block_fixed_effect,-24040689.19999998,-24040689.19999998
1,18-19,block_fe_11,block_fixed_effect,-24283087.73333331,-24283087.73333331
1,18-19,block_fe_12,block_fixed_effect,-21096846.866666637,-21096846.866666637
1,19-20,intercept,intercept,25320610.933333315,17127888.594669335
1,19-20,rainfall_sep,weather,490663.49489613966,11377.144584338292
1,19-20,rainfall_oct,weather,418655.17291767395,10756.846605775401
1,19-20,rainfall_nov,weather,881684.2777743799,18817.23271948733
1,19-20,rainfall_dec,weather,-137044.87554486436,-2825.100495464358
1,19-20,rainfall_jan,weather,-1060675.906146286,-16306.077404457094
1,19-20,rainfall_feb,weather,1233795.021815787,25899.59081835393
1,19-20,rainfall_mar,weather,-346477.6979555032,-9210.384418364054
1,19-20,rainfall_apr,weather,1348254.1479785435,50127.265674876464
1,19-20,growing_season_average_temperature,weather,69216.70544316307,78038.08041072711
1,19-20,block_fe_2,block_fixed_effect,22245269.66666669,22245269.66666669
1,19-20,block_fe_3,block_fixed_effect,22833449.26666668,22833449.26666668
1,19-20,block_fe_4,block_fixed_effect,29256607.800000034,29256607.800000034
1,19-20,block_fe_5,block_fixed_effect,27182143.133333344,27182143.133333344
1,19-20,block_fe_6,block_fixed_effect,19685004.466666687,19685004.466666687
1,19-20,block_fe_7,block_fixed_effect,11465428.400000038,11465428.400000038
1,19-20,block_fe_8,block_fixed_effect,-1496934.666666653,-1496934.666666653
1,19-20,block_fe_9,block_fixed_effect,-17823007.200000007,-17823007.200000007
1,19-20,block_fe_10,block_fixed_effect,-24817812.799999982,-24817812.799999982
1,19-20,block_fe_11,block_fixed_effect,-25066101.266666662,-25066101.266666662
1,19-20,block_fe_12,block_fixed_effect,-21936593.333333317,-21936593.333333317
1,20-21,intercept,intercept,24467942.53333335,9169355.789436303
1,20-21,rainfall_sep,weather,845644.6876920133,19523.91525065184
1,20-21,rainfall_oct,weather,-485669.51592478825,-12486.546240350002
1,20-21,rainfall_nov,weather,597770.0912363689,12457.43205391962
1,20-21,rainfall_dec,weather,-99454.1069966896,-1961.1970393014
1,20-21,rainfall_jan,weather,-46152.843961928505,-685.7221324383885
1,20-21,rainfall_feb,weather,190600.76687320552,4482.474369081776
1,20-21,rainfall_mar,weather,-417768.51557225245,-11573.612819208118
1,20-21,rainfall_apr,weather,922561.2818359276,35336.74281873637
1,20-21,growing_season_average_temperature,weather,467028.99809291615,527597.9328862869
1,20-21,block_fe_2,block_fixed_effect,22947669.799999997,22947669.799999997
1,20-21,block_fe_3,block_fixed_effect,23836082.333333317,23836082.333333317
1,20-21,block_fe_4,block_fixed_effect,29764467.06666664,29764467.06666664
1,20-21,block_fe_5,block_fixed_effect,28067931.93333331,28067931.93333331
1,20-21,block_fe_6,block_fixed_effect,20127461.933333322,20127461.933333322
1,20-21,block_fe_7,block_fixed_effect,12648733.266666641,12648733.266666641
1,20-21,block_fe_8,block_fixed_effect,-519168.46666666534,-519168.46666666534
1,20-21,block_fe_9,block_fixed_effect,-16927399.533333354,-16927399.533333354
1,20-21,block_fe_10,block_fixed_effect,-23964495.933333352,-23964495.933333352
1,20-21,block_fe_11,block_fixed_effect,-24214539.200000044,-24214539.200000044
1,20-21,block_fe_12,block_fixed_effect,-20886868.93333334,-20886868.93333334
1,21-22,intercept,intercept,25431097.599999987,15337825.637881424
1,21-22,rainfall_sep,weather,747101.9577221115,17893.563442832918
1,21-22,rainfall_oct,weather,-586364.3985950814,-14424.512532719114
1,21-22,rainfall_nov,weather,-51646.790655474586,-1181.337609683688
1,21-22,rainfall_dec,weather,329764.5515366456,6498.756345532427
1,21-22,rainfall_jan,weather,-306350.2436534437,-4723.114987350357
1,21-22,rainfall_feb,weather,124435.46483741153,2589.3937495788628
1,21-22,rainfall_mar,weather,-574992.3305088073,-15698.661486598841
1,21-22,rainfall_apr,weather,377887.682874721,14577.94725535193
1,21-22,growing_season_average_temperature,weather,395011.40304389945,464914.74127249117
1,21-22,block_fe_2,block_fixed_effect,22093865.266666677,22093865.266666677
1,21-22,block_fe_3,block_fixed_effect,22969311.133333333,22969311.133333333
1,21-22,block_fe_4,block_fixed_effect,29051163.73333337,29051163.73333337
1,21-22,block_fe_5,block_fixed_effect,27186526.866666682,27186526.866666682
1,21-22,block_fe_6,block_fixed_effect,19598075.200000014,19598075.200000014
1,21-22,block_fe_7,block_fixed_effect,12921595.466666685,12921595.466666685
1,21-22,block_fe_8,block_fixed_effect,-935539.5333333226,-935539.5333333226
1,21-22,block_fe_9,block_fixed_effect,-17862132.133333325,-17862132.133333325
1,21-22,block_fe_10,block_fixed_effect,-24926966.66666667,-24926966.66666667
1,21-22,block_fe_11,block_fixed_effect,-25176587.933333322,-25176587.933333322
1,21-22,block_fe_12,block_fixed_effect,-21742683.866666675,-21742683.866666675
1,22-23,intercept,intercept,26020465.46666668,9167646.812570106
1,22-23,rainfall_sep,weather,853558.327075272,20235.008362517332
1,22-23,rainfall_oct,weather,-600923.7732933753,-15437.262717689617
1,22-23,rainfall_nov,weather,627354.1571625347,13346.675570037505
1,22-23,rainfall_dec,weather,-146228.80361610692,-2908.2944852916125
1,22-23,rainfall_jan,weather,-21997.211587488957,-336.4643315775047
1,22-23,rainfall_feb,weather,320474.58065116516,6598.27402390335
1,22-23,rainfall_mar,weather,-545340.1957799066,-14471.381561853086
1,22-23,rainfall_apr,weather,1040420.7888134251,38375.47696475689
1,22-23,growing_season_average_temperature,weather,519699.32079629676,586101.9996697598
1,22-23,block_fe_2,block_fixed_effect,21887338.133333325,21887338.133333325
1,22-23,block_fe_3,block_fixed_effect,22471456.333333302,22471456.333333302
1,22-23,block_fe_4,block_fixed_effect,28355692.599999975,28355692.599999975
1,22-23,block_fe_5,block_fixed_effect,26820726.800000012,26820726.800000012
1,22-23,block_fe_6,block_fixed_effect,19453154.73333331,19453154.73333331
1,22-23,block_fe_7,block_fixed_effect,11172972.133333333,11172972.133333333
1,22-23,block_fe_8,block_fixed_effect,-2701266.533333333,-2701266.533333333
1,22-23,block_fe_9,block_fixed_effect,-18640438.733333346,-18640438.733333346
1,22-23,block_fe_10,block_fixed_effect,-25516334.533333357,-25516334.533333357
1,22-23,block_fe_11,block_fixed_effect,-25767121.133333366,-25767121.133333366
1,22-23,block_fe_12,block_fixed_effect,-22486657.26666668,-22486657.26666668
1,23-24,intercept,intercept,25699121.4666666,-9325964.338151507
1,23-24,rainfall_sep,weather,617444.1650170569,14708.237379931987
1,23-24,rainfall_oct,weather,-1223042.734824503,-29127.53156698583
1,23-24,rainfall_nov,weather,1384507.593436348,29591.791769702253
1,23-24,rainfall_dec,weather,-837296.9450985036,-16915.60112324389
1,23-24,rainfall_jan,weather,817652.4082796777,12148.04990303809
1,23-24,rainfall_feb,weather,-261002.22718301928,-5400.32878048422
1,23-24,rainfall_mar,weather,-149608.2522832441,-3966.426277638147
1,23-24,rainfall_apr,weather,1080135.6912001444,39846.23969953572
1,23-24,growing_season_average_temperature,weather,1123450.390430389,1334113.0179858387
1,23-24,block_fe_2,block_fixed_effect,21585050.266666725,21585050.266666725
1,23-24,block_fe_3,block_fixed_effect,22804258.866666745,22804258.866666745
1,23-24,block_fe_4,block_fixed_effect,28416247.06666672,28416247.06666672
1,23-24,block_fe_5,block_fixed_effect,26613339.533333443,26613339.533333443
1,23-24,block_fe_6,block_fixed_effect,18759592.200000055,18759592.200000055
1,23-24,block_fe_7,block_fixed_effect,11381258.066666745,11381258.066666745
1,23-24,block_fe_8,block_fixed_effect,-3280838.9333332796,-3280838.9333332796
1,23-24,block_fe_9,block_fixed_effect,-19248110.199999955,-19248110.199999955
1,23-24,block_fe_10,block_fixed_effect,-25258234.133333277,-25258234.133333277
1,23-24,block_fe_11,block_fixed_effect,-25468864.666666593,-25468864.666666593
1,23-24,block_fe_12,block_fixed_effect,-22270974.866666608,-22270974.866666608
1,24-25,intercept,intercept,24862338.199999973,77357871.8282548
1,24-25,rainfall_sep,weather,217817.56581569524,5080.164211763097
1,24-25,rainfall_oct,weather,-807283.4347366658,-20804.415348825216
1,24-25,rainfall_nov,weather,998681.7363886598,21297.57800530096
1,24-25,rainfall_dec,weather,254030.67303981737,5695.234367481744
1,24-25,rainfall_jan,weather,-708632.1364020165,-10958.980189577822
1,24-25,rainfall_feb,weather,261532.83218354514,5405.061834335284
1,24-25,rainfall_mar,weather,-821373.8457208433,-21839.7720135623
1,24-25,rainfall_apr,weather,430223.5749591494,15686.373315095097
1,24-25,growing_season_average_temperature,weather,-1350641.842385392,-2136145.113786728
1,24-25,block_fe_2,block_fixed_effect,22535265.80000005,22535265.80000005
1,24-25,block_fe_3,block_fixed_effect,22986804.266666707,22986804.266666707
1,24-25,block_fe_4,block_fixed_effect,29545421.933333367,29545421.933333367
1,24-25,block_fe_5,block_fixed_effect,27837675.20000004,27837675.20000004
1,24-25,block_fe_6,block_fixed_effect,19873672.733333346,19873672.733333346
1,24-25,block_fe_7,block_fixed_effect,12443070.000000028,12443070.000000028
1,24-25,block_fe_8,block_fixed_effect,-1238980.4666666174,-1238980.4666666174
1,24-25,block_fe_9,block_fixed_effect,-17570306.799999963,-17570306.799999963
1,24-25,block_fe_10,block_fixed_effect,-24358207.266666617,-24358207.266666617
1,24-25,block_fe_11,block_fixed_effect,-24607828.53333331,-24607828.53333331
1,24-25,block_fe_12,block_fixed_effect,-21362255.799999956,-21362255.799999956
1,25-26,intercept,intercept,25780475.066666674,-4697272.208263755
1,25-26,rainfall_sep,weather,373596.1786936112,8968.100470943271
1,25-26,rainfall_oct,weather,-589367.6749220095,-14032.317101019726
1,25-26,rainfall_nov,weather,893539.4106504449,19270.81163360467
1,25-26,rainfall_dec,weather,388722.099982617,7647.618684165016
1,25-26,rainfall_jan,weather,-182376.83943459287,-2891.720965751268
1,25-26,rainfall_feb,weather,328983.1879141371,7071.399190536365
1,25-26,rainfall_mar,weather,-541298.7429816386,-16547.092586824176
1,25-26,rainfall_apr,weather,1337104.6031166508,48129.39913290426
1,25-26,growing_season_average_temperature,weather,888794.8907475342,1081957.9784102128
1,25-26,block_fe_2,block_fixed_effect,21657225.06666667,21657225.06666667
1,25-26,block_fe_3,block_fixed_effect,22846337.53333331,22846337.53333331
1,25-26,block_fe_4,block_fixed_effect,28492052.133333307,28492052.133333307
1,25-26,block_fe_5,block_fixed_effect,26502335.999999996,26502335.999999996
1,25-26,block_fe_6,block_fixed_effect,18817758.600000013,18817758.600000013
1,25-26,block_fe_7,block_fixed_effect,11414669.533333335,11414669.533333335
1,25-26,block_fe_8,block_fixed_effect,-2196058.399999994,-2196058.399999994
1,25-26,block_fe_9,block_fixed_effect,-18480139.266666677,-18480139.266666677
1,25-26,block_fe_10,block_fixed_effect,-25287185.13333335,-25287185.13333335
1,25-26,block_fe_11,block_fixed_effect,-25529128.666666687,-25529128.666666687
1,25-26,block_fe_12,block_fixed_effect,-22336753.53333335,-22336753.53333335
2,10-11,intercept,intercept,72112990.7333333,39365369.87424481
2,10-11,rainfall_sep,weather,1906950.407050692,52504.69339204255
2,10-11,rainfall_oct,weather,-770235.6153837942,-18618.00404837955
2,10-11,rainfall_nov,weather,1025019.4846060653,22222.872296530993
2,10-11,rainfall_dec,weather,266615.030295093,6844.559143343509
2,10-11,rainfall_jan,weather,1294.6946745540627,20.52698558333192
2,10-11,rainfall_feb,weather,322488.6702705906,6532.282422514191
2,10-11,rainfall_mar,weather,-1235962.3168175183,-32818.35838683126
2,10-11,rainfall_apr,weather,1824015.294103527,66157.51976906856
2,10-11,growing_season_average_temperature,weather,944714.3869502896,1098814.2376694735
2,10-11,block_fe_2,block_fixed_effect,30609654.266666677,30609654.266666677
2,10-11,block_fe_3,block_fixed_effect,25708531.80000002,25708531.80000002
2,10-11,block_fe_4,block_fixed_effect,-11801850.46666665,-11801850.46666665
2,10-11,block_fe_5,block_fixed_effect,-64420566.26666666,-64420566.26666666
2,10-11,block_fe_6,block_fixed_effect,-68236912.66666664,-68236912.66666664
2,11-12,intercept,intercept,73730509.46666667,-3749214.8183205426
2,11-12,rainfall_sep,weather,1028036.0440883706,24074.661118954577
2,11-12,rainfall_oct,weather,-1354156.9134370831,-32333.18721833685
2,11-12,rainfall_nov,weather,356950.1223953645,7638.571780582303
2,11-12,rainfall_dec,weather,-60971.410023534205,-1204.8735724761527
2,11-12,rainfall_jan,weather,1077302.326095511,17268.332082573244
2,11-12,rainfall_feb,weather,1563613.7529299804,33427.03513495537
2,11-12,rainfall_mar,weather,562498.787801733,18301.212323149197
2,11-12,rainfall_apr,weather,2819599.270879038,103451.0290637039
2,11-12,growing_season_average_temperature,weather,2198203.1283063237,2559740.080285718
2,11-12,block_fe_2,block_fixed_effect,29206116.266666625,29206116.266666625
2,11-12,block_fe_3,block_fixed_effect,23877397.93333333,23877397.93333333
2,11-12,block_fe_4,block_fixed_effect,-11961320.999999996,-11961320.999999996
2,11-12,block_fe_5,block_fixed_effect,-65691530.06666667,-65691530.06666667
2,11-12,block_fe_6,block_fixed_effect,-69793112.73333338,-69793112.73333338
2,12-13,intercept,intercept,75201240.93333335,54611267.07277806
2,12-13,rainfall_sep,weather,1606755.71991699,39039.07495858841
2,12-13,rainfall_oct,weather,-1136043.91800886,-27872.498885357505
2,12-13,rainfall_nov,weather,1277209.7548848423,26724.087620821116
2,12-13,rainfall_dec,weather,-646641.3781280381,-12791.257669274553
2,12-13,rainfall_jan,weather,356471.8688366954,5359.112609557442
2,12-13,rainfall_feb,weather,487795.8133328415,10406.610242771607
2,12-13,rainfall_mar,weather,-1428939.303356551,-41460.97556399459
2,12-13,rainfall_apr,weather,1959197.5383041494,74630.1047428663
2,12-13,growing_season_average_temperature,weather,632174.0068061997,726649.5002211318
2,12-13,block_fe_2,block_fixed_effect,28702383.933333337,28702383.933333337
2,12-13,block_fe_3,block_fixed_effect,21989765.933333304,21989765.933333304
2,12-13,block_fe_4,block_fixed_effect,-16232644.533333372,-16232644.533333372
2,12-13,block_fe_5,block_fixed_effect,-68120743.80000003,-68120743.80000003
2,12-13,block_fe_6,block_fixed_effect,-71333702.20000005,-71333702.20000005
2,13-14,intercept,intercept,73023645.46666667,61453714.89126725
